Station_A,Station_B,Type,Time_in_Minutes
Indraprastha,Yamuna Bank,RAIL,FILL_THIS
Akshardham,Yamuna Bank,RAIL,FILL_THIS
Yamuna Bank,Yamuna Bank,TRANSFER,FILL_THIS
Akshardham,Mayur Vihar Phase-1 [Conn: Pink],RAIL,FILL_THIS
Mayur Vihar Extention,Mayur Vihar Phase-1 [Conn: Pink],RAIL,FILL_THIS
Mayur Vihar Extention,New Ashok Nagar,RAIL,FILL_THIS
New Ashok Nagar,Noida Sector 15,RAIL,FILL_THIS
Noida Sector 15,Noida Sector 16,RAIL,FILL_THIS
Noida Sector 16,Noida Sector 18,RAIL,FILL_THIS
Botanical Garden [Conn: Magenta],Noida Sector 18,RAIL,FILL_THIS
Botanical Garden [Conn: Magenta],Golf Course,RAIL,FILL_THIS
Golf Course,Noida City Center,RAIL,FILL_THIS
Noida City Center,Noida Sector 34,RAIL,FILL_THIS
Noida Sector 34,Noida Sector 52 [Conn: Aqua],RAIL,FILL_THIS
Noida Sector 52 [Conn: Aqua],Noida Sector 61,RAIL,FILL_THIS
Noida Sector 59,Noida Sector 61,RAIL,FILL_THIS
Noida Sector 59,Noida Sector 62,RAIL,FILL_THIS
Laxmi Nagar,Yamuna Bank,RAIL,FILL_THIS
Laxmi Nagar,Nirman Vihar,RAIL,FILL_THIS
Nirman Vihar,Preet Vihar,RAIL,FILL_THIS
Karkar Duma [Conn: Pink],Preet Vihar,RAIL,FILL_THIS
Anand Vihar [Conn: Pink],Karkar Duma [Conn: Pink],RAIL,FILL_THIS
Anand Vihar [Conn: Pink],Kaushambi,RAIL,FILL_THIS
Kaushambi,Vaishali,RAIL,FILL_THIS
Ashok Park Main,Satguru Ram Singh Marg,RAIL,FILL_THIS
Ashok Park Main,Ashok Park Main,TRANSFER,FILL_THIS
Kirti Nagar [Conn: Blue],Satguru Ram Singh Marg,RAIL,FILL_THIS
Ashok Park Main,Inderlok Conn:Red,RAIL,FILL_THIS
Ashok Park Main,Punjabi Bagh,RAIL,FILL_THIS
Punjabi Bagh,Shivaji Park,RAIL,FILL_THIS
Madipur,Shivaji Park,RAIL,FILL_THIS
Madipur,Paschim Vihar (East),RAIL,FILL_THIS
Paschim Vihar (East),Paschim Vihar (West),RAIL,FILL_THIS
Paschim Vihar (West),Peera Garhi,RAIL,FILL_THIS
Peera Garhi,Udyog Nagar,RAIL,FILL_THIS
Maharaja Surajmal Stadium,Udyog Nagar,RAIL,FILL_THIS
Maharaja Surajmal Stadium,Nangloi,RAIL,FILL_THIS
Nangloi,Nangloi Railway Station,RAIL,FILL_THIS
